"Search"; "Search"
"All";	"All"
"Report a new bug"; "Report a new bug"
"Bug report not found";  "Bug report not found"
"Create new snippet"; "Create new snippet"
"title";  "title"
"filter"; "filter"
"submit"; "submit"
"reset";  "reset"
"About";	"About"
"Help";	"Help"
"Home";	"Home"
"Languages"; "Languages"
"Country";	"Country"
